Nodes,MOON,CARNIVAL
SRF,0,1
STAT1,1,1
STAT2,0,1
STAT3,1,0
STAT5A,1,0
STAT6,0,1
STEAP3,-1,0
STRAP,1,0
SUMO1,0,-1
SUN1,-1,0
SUV39H1,1,0
TCF4,1,0
TCF7L2,1,0
TFAP2A,0,1
TFAP4,1,0
TFE3,0,1
TGFB1,1,1
TGFB1I1,0,1
THBS1,1,1
TIMP1,1,1
TIMP2,1,1
TOPBP1,1,0
TP53,-1,1
TP53BP1,-1,0
TRAF2,0,-1
TRIM28,1,0
TSC1,1,0
TSC2,1,0
UBXN2B,-1,0
UIMC1,1,0
USF1,0,1
USF2,0,1
VAV1,-1,0
VEGFA,1,1
VIM,1,0
WWOX,-1,0
XBP1,0,1
XPA,1,0
XPC,1,0
YY1,-1,-1
ZEB1,1,0
