Node1,Node2,Sign,edgeID
Metab__Phosphoenolpyruvate_c,Enzyme7225__ENO3_reverse,1,Metab__Phosphoenolpyruvate_c_Enzyme7225__ENO3_reverse
Metab__2-Phosphoglyceric acid_c,Enzyme3732__BPGM,1,Metab__2-Phosphoglyceric acid_c_Enzyme3732__BPGM
Metab__2-Phosphoglyceric acid_c,Enzyme3732__PGAM1,1,Metab__2-Phosphoglyceric acid_c_Enzyme3732__PGAM1
Metab__2-Phosphoglyceric acid_c,Enzyme3732__PGAM2,1,Metab__2-Phosphoglyceric acid_c_Enzyme3732__PGAM2
Metab__2-Phosphoglyceric acid_c,Enzyme7225__ENO1,1,Metab__2-Phosphoglyceric acid_c_Enzyme7225__ENO1
Metab__2-Phosphoglyceric acid_c,Enzyme7225__ENO2,1,Metab__2-Phosphoglyceric acid_c_Enzyme7225__ENO2
Metab__2-Phosphoglyceric acid_c,Enzyme7225__ENO3,1,Metab__2-Phosphoglyceric acid_c_Enzyme7225__ENO3
Metab__Thymidine 5'-triphosphate_c,Enzyme2346__PKM_reverse,1,Metab__Thymidine 5'-triphosphate_c_Enzyme2346__PKM_reverse
NPM1,CDKN2A,1,NPM1_CDKN2A
NPM1,EIF2AK2,-1,NPM1_EIF2AK2
NPM1,TP53,-1,NPM1_TP53
NUP153,KPNB1,1,NUP153_KPNB1
NUP153,SMAD2,1,NUP153_SMAD2
NUP153,SMAD3,1,NUP153_SMAD3
NUP153,SMAD4,1,NUP153_SMAD4
PALB2,BRCA1,1,PALB2_BRCA1
PARP1,HIF1A,1,PARP1_HIF1A
PARP1,PIAS4,1,PARP1_PIAS4
PARP1,TP53,1,PARP1_TP53
PIAS4,SMAD3,1,PIAS4_SMAD3
PIAS4,SMAD4,1,PIAS4_SMAD4
PIAS4,TP53BP1,1,PIAS4_TP53BP1
PIK3R3,TP53,1,PIK3R3_TP53
PIN1,BCL6,1,PIN1_BCL6
PIN1,CDK1,-1,PIN1_CDK1
PIN1,MYC,1,PIN1_MYC
PIN1,TP53,1,PIN1_TP53
PKM,Enzyme2346__PKM,1,PKM_Enzyme2346__PKM
PKM,Enzyme2346__PKM_reverse,1,PKM_Enzyme2346__PKM_reverse
PLCG1,CDKN1A,1,PLCG1_CDKN1A
PLCG2,CDKN1A,1,PLCG2_CDKN1A
PMAIP1,BCL2L1,-1,PMAIP1_BCL2L1
PPARA,FOXO1,-1,PPARA_FOXO1
PRKCE,BAD,-1,PRKCE_BAD
PRKCE,GAD1,-1,PRKCE_GAD1
PRKCE,SRC,-1,PRKCE_SRC
PSMC3,CDKN2A,1,PSMC3_CDKN2A
PSMC3,SNCA,-1,PSMC3_SNCA
PTPN2,SRC,-1,PTPN2_SRC
PTPN2,STAT5A,1,PTPN2_STAT5A
RAD1,TOPBP1,1,RAD1_TOPBP1
RBL2,E2F4,1,RBL2_E2F4
RELA,CITED1,1,RELA_CITED1
RELA,EGR1,1,RELA_EGR1
RELA,PPARA,-1,RELA_PPARA
RELA,SP1,1,RELA_SP1
RPA2,ATRIP,1,RPA2_ATRIP
SCARB1,SRC,1,SCARB1_SRC
SIRT1,EP300,-1,SIRT1_EP300
SIRT1,KAT5,-1,SIRT1_KAT5
SIRT1,RELA,-1,SIRT1_RELA
SIRT1,SUV39H1,1,SIRT1_SUV39H1
SIRT1,TP53,-1,SIRT1_TP53
SIRT1,XPA,1,SIRT1_XPA
SLC25A1,Enzyme168700002__SLC25A1,1,SLC25A1_Enzyme168700002__SLC25A1
SLC25A1,Enzyme168800001__SLC25A1,1,SLC25A1_Enzyme168800001__SLC25A1
SLC25A1,Enzyme172400002__SLC25A1,1,SLC25A1_Enzyme172400002__SLC25A1
SLC25A1,Enzyme220500001__SLC25A1,1,SLC25A1_Enzyme220500001__SLC25A1
