source,target,sign,consistency
Gene1677__orphanReacr0842_reverse,Metab__HMDB0000286_c,1,TRUE
Gene168700002__SLC25A1,Metab__HMDB0000193_c,1,TRUE
Gene172900002__orphanReacr1148,Metab__HMDB0000193_c,1,TRUE
Gene218400002__SLC37A4,Metab__HMDB0001401_r,1,TRUE
Gene220600001__SLC25A1,Metab__HMDB0000193_c,1,TRUE
Gene220700002__SLC25A1,Metab__HMDB0000072_c,1,TRUE
Gene221500003__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene221700003__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene221900002__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene239__G6PC3,Metab__HMDB0001401_r,1,TRUE
Gene2730__orphanReacAHCYStm,Metab__HMDB0000939_m,1,TRUE
Gene2730__orphanReacAHCYStm_reverse,Metab__HMDB0000939_c,1,TRUE
Gene319__CMPK1,Metab__HMDB0001508_n,1,TRUE
Gene319__CMPK1_reverse,Metab__HMDB0001202_n,1,TRUE
Gene319__CMPK1_reverse,Metab__HMDB0001532_n,1,TRUE
Gene330__CMPK1,Metab__HMDB0001508_c,1,TRUE
Gene330__CMPK1,Metab__HMDB0001546_c,1,TRUE
Gene331__CMPK1,Metab__HMDB0001508_n,1,TRUE
Gene331__CMPK1_reverse,Metab__HMDB0000095_n,1,TRUE
Gene331__CMPK1_reverse,Metab__HMDB0001532_n,1,TRUE
Gene338__orphanReacDATPtn,Metab__HMDB0001532_n,1,TRUE
Gene338__orphanReacDATPtn_reverse,Metab__HMDB0001532_c,1,TRUE
Gene3616__orphanReacHCYSte,Metab__HMDB0000742_c,1,TRUE
Gene3616__orphanReacHCYSte_reverse,Metab__HMDB0000742_e,1,TRUE
Gene3680__UGP2,Metab__HMDB0000286_c,1,TRUE
Gene3680__UGP2_reverse,Metab__HMDB0001586_c,1,TRUE
Gene3711__IMPDH1,Metab__HMDB0062755_c,1,TRUE
Gene3711__IMPDH2,Metab__HMDB0062755_c,1,TRUE
Gene3734__PGM1,Metab__HMDB0001401_c,1,TRUE
Gene3734__PGM1_reverse,Metab__HMDB0001586_c,1,TRUE
Gene3734__PGM2,Metab__HMDB0001401_c,1,TRUE
Gene3734__PGM2_reverse,Metab__HMDB0001586_c,1,TRUE
Gene3751__AK2_reverse,Metab__HMDB0000905_c,1,TRUE
Gene3753__IDH1_reverse,Metab__HMDB0000193_c,1,TRUE
Gene3840__AHCY,Metab__HMDB0000050_c,1,TRUE
Gene3840__AHCY,Metab__HMDB0000742_c,1,TRUE
Gene3840__AHCYL1,Metab__HMDB0000050_c,1,TRUE
Gene3840__AHCYL1,Metab__HMDB0000742_c,1,TRUE
Gene3840__AHCYL1_reverse,Metab__HMDB0000939_c,1,TRUE
Gene3840__AHCY_reverse,Metab__HMDB0000939_c,1,TRUE
Gene4157__GBA2,Metab__HMDB0000122_e,1,TRUE
Gene4157__GBA2,Metab__crm_hs_e,1,TRUE
Gene4262__orphanReacCERT1tn,Metab__crm_hs_n,1,TRUE
Gene4262__orphanReacCERT1tn_reverse,Metab__crm_hs_c,1,TRUE
Gene4479__GLTP,Metab__gluside_hs_e,1,TRUE
Gene4479__GLTP_reverse,Metab__gluside_hs_c,1,TRUE
Gene4777__COQ5,Metab__HMDB0000939_m,1,TRUE
Gene4788__KMT5A,Metab__HMDB0000939_c,1,TRUE
Gene4788__KMT5A,Metab__M00213_c,1,TRUE
Gene4788__SETD2,Metab__HMDB0000939_c,1,TRUE
Gene4788__SETD2,Metab__M00213_c,1,TRUE
Gene4788__SETDB1,Metab__HMDB0000939_c,1,TRUE
Gene4788__SETDB1,Metab__M00213_c,1,TRUE
Gene4788__SUV39H1,Metab__HMDB0000939_c,1,TRUE
Gene4788__SUV39H1,Metab__M00213_c,1,TRUE
Gene4789__ASH1L,Metab__HMDB0000939_c,1,TRUE
Gene4789__ASH1L,Metab__Ndmelys_c,1,TRUE
Gene4789__DOT1L,Metab__HMDB0000939_c,1,TRUE
Gene4789__DOT1L,Metab__Ndmelys_c,1,TRUE
Gene4789__EHMT1,Metab__HMDB0000939_c,1,TRUE
Gene4789__EHMT1,Metab__Ndmelys_c,1,TRUE
Gene4789__KMT2A,Metab__HMDB0000939_c,1,TRUE
Gene4789__KMT2A,Metab__Ndmelys_c,1,TRUE
Gene4789__KMT2B,Metab__HMDB0000939_c,1,TRUE
Gene4789__KMT2B,Metab__Ndmelys_c,1,TRUE
Gene4789__KMT2C,Metab__HMDB0000939_c,1,TRUE
Gene4789__KMT2C,Metab__Ndmelys_c,1,TRUE
Gene4789__KMT2D,Metab__HMDB0000939_c,1,TRUE
Gene4789__KMT2D,Metab__Ndmelys_c,1,TRUE
Gene4789__KMT2E,Metab__HMDB0000939_c,1,TRUE
Gene4789__KMT2E,Metab__Ndmelys_c,1,TRUE
Gene4789__KMT5A,Metab__HMDB0000939_c,1,TRUE
Gene4789__KMT5A,Metab__Ndmelys_c,1,TRUE
Gene4789__NSD1,Metab__HMDB0000939_c,1,TRUE
Gene4789__NSD1,Metab__Ndmelys_c,1,TRUE
Gene4789__SETD1A,Metab__HMDB0000939_c,1,TRUE
Gene4789__SETD1A,Metab__Ndmelys_c,1,TRUE
Gene4789__SETD1B,Metab__HMDB0000939_c,1,TRUE
Gene4789__SETD1B,Metab__Ndmelys_c,1,TRUE
Gene4789__SETD2,Metab__HMDB0000939_c,1,TRUE
Gene4789__SETD2,Metab__Ndmelys_c,1,TRUE
Gene4789__SETD7,Metab__HMDB0000939_c,1,TRUE
Gene4789__SETD7,Metab__Ndmelys_c,1,TRUE
Gene4789__SETDB1,Metab__HMDB0000939_c,1,TRUE
Gene4789__SETDB1,Metab__Ndmelys_c,1,TRUE
Gene4789__SMYD3,Metab__HMDB0000939_c,1,TRUE
Gene4789__SMYD3,Metab__Ndmelys_c,1,TRUE
Gene4789__SUV39H1,Metab__HMDB0000939_c,1,TRUE
Gene4789__SUV39H1,Metab__Ndmelys_c,1,TRUE
Gene4822__GPI,Metab__HMDB0001401_c,1,TRUE
Gene4822__GPI_reverse,Metab__M01389_c,1,TRUE
Gene4823__GPI_reverse,Metab__M01389_c,1,TRUE
Gene5563__SLC29A1,Metab__HMDB0000050_c,1,TRUE
Gene5563__SLC29A1_reverse,Metab__HMDB0000050_e,1,TRUE
Gene5773__CMPK1_reverse,Metab__HMDB0001532_c,1,TRUE
Gene5786__DGKZ,Metab__pa_hs_n,1,TRUE
Gene6133__NME1_reverse,Metab__HMDB0001532_n,1,TRUE
Gene6133__NME2_reverse,Metab__HMDB0001532_n,1,TRUE
Gene616500002__SLC25A1,Metab__HMDB0000072_m,1,TRUE
Gene616600001__SLC25A1,Metab__HMDB0000193_c,1,TRUE
Gene616600002__SLC25A1,Metab__HMDB0000072_m,1,TRUE
Gene616800001__SLC25A1,Metab__HMDB0000193_c,1,TRUE
Gene617500002__SLC25A1,Metab__HMDB0000072_c,1,TRUE
Gene617600002__SLC25A1,Metab__HMDB0000072_c,1,TRUE
Gene618100002__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene618400003__SLC25A1,Metab__HMDB0000072_m,1,TRUE
